Address,OwnedAcres,Property,PropertyID,SubArea,UnownedAcres,YearAcquired,Zip,_id__id,amenities_0,amenities_1,loc_lon,loc_lat,amenities_2,amenities_3,amenities_4,amenities_5,amenities_6,amenities_7,amenities_8,amenities_9,amenities_10,col_22,amenities_11,amenities_12,amenities_13,amenities_14,amenities_15,amenities_16,amenities_17,amenities_18,amenities_19,_created_at,_updated_at
SE 134th Ave & Foster Rd,4.39,Gilbert Primary Park,150,OE,0,1993,97236,4ff75389c89f8f7b9fdf0100,playground,,-122.526918,45.478254,,,,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
SE 67th Ave & Harney St,7.13,Harney Park,173,SE,0,1979,97206,4ff75389c89f8f7b9fe90100,basketball court,disabled access restroom,-122.593235,45.462542,paths : paved,paths : unpaved,picnic tables,playground,soccer field,softball field,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
NE 11th Ave & Holladay St,4.34,Holladay Park,186,CC/NW,0,1870,97232,4ff75389c89f8f7b9ff20100,fountain,paths : paved,-122.653555,45.530756,picnic tables,statue or public art,,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
SE 34th Ave & Holgate Blvd,8.33,Kenilworth Park,213,SE,0,1909,97202,4ff75389c89f8f7b9f030200,disabled access play area,disabled access picnic area,-122.631205,45.491343,paths : paved,picnic tables,playground,softball field,tennis court,volleyball court,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
N Denver Ave & Martin Luther King Jr Blvd,86.79,Delta Park,34,N,0,1950,97217,4ff75389c89f8f7b9fa40100,dog off-leash area,football field,-122.680193,45.598739,paths : paved,picnic tables,playground,soccer field,softball field,volleyball court,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
SW Naito Pkwy & Ankeny St,1.33,Ankeny Plaza,50,CC/NW,0,1948,97204,4ff75389c89f8f7b9fac0100,fountain,historical site,-122.670801,45.522046,statue or public art,,,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
SE 100th Ave & Steele St,12.95,Bloomington Park,61,OE,0,1940,97266,4ff75389c89f8f7b9fb60100,baseball field,basketball court,-122.559518,45.485353,disabled access restroom,paths : paved,picnic tables,playground,soccer field,softball field,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
7720 SW Macadam Ave,1.07,Butterfly Park,93,SW,0,1984,97219,4ff75389c89f8f7b9fbe0100,natural area,paths : unpaved,-122.669974,45.469761,,,,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
SE 19th Ave & Sparrow St,13.24,Elk Rock Island,113,SE,0,1955,97222,4ff75389c89f8f7b9fc80100,natural area,trails : hiking,-122.648017,45.435931,,,,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
68 SW Miles St,8.21,Fulton Park,133,SW,0,1941,97219,4ff75389c89f8f7b9fd70100,basketball court,paths : unpaved,-122.680428,45.470564,picnic tables,playground,soccer field,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
NE 82nd Ave & Siskiyou St,15.69,Glenhaven Park,153,NE,0,1948,97213,4ff75389c89f8f7b9fe10100,baseball field,disabled access play area,-122.580931,45.543588,disabled access restroom,paths : paved,picnic tables,playground,skatepark,soccer field,softball field,tennis court,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
SW Patrick Pl & Council Crest Dr,1.13,Healy Heights Park,178,SW,0,1951,97201,4ff75389c89f8f7b9fec0100,basketball court,playground,-122.698467,45.492822,soccer field,,,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
SW 3rd Ave & Clay St,0.92,Keller Fountain Park,194,CC/NW,0,1968,97204,4ff75389c89f8f7b9ff50100,fountain,paths : paved,-122.679115,45.512726,statue or public art,,,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
510 N Shaver St,4.5,Unthank Park,37,NE,0,1966,97227,4ff75389c89f8f7b9fa50100,baseball field,basketball court,-122.671219,45.551426,disabled access restroom,paths : paved,picnic tables,playground,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
SW 58th Ave & Miles St,9.79,April Hill Park,51,SW,0,1963,97219,4ff75389c89f8f7b9fad0100,disabled access play area,paths : paved,-122.735508,45.470399,paths : unpaved,picnic tables,playground,soccer field,softball field,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
SE 60th Ave & Duke St,14.05,Brentwood Park,63,SE,0,1951,97206,4ff75389c89f8f7b9fb70100,dog off-leash area,paths : paved,-122.600889,45.473629,picnic tables,playground,soccer field,softball field,tennis court,volleyball court,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
N Edison St & Pittsburg Ave,23.09,Cathedral Park,97,N,0,1968,97203,4ff75389c89f8f7b9fbf0100,boat dock,boat ramp,-122.761341,45.587417,disabled access restroom,dog off-leash area,paths : paved,picnic tables,stage,canoe launch,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
NE 27th Ave & Everett St,0.39,Everett Community Garden,117,NE,0,1988,97232,4ff75389c89f8f7b9fcb0100,community garden,,-122.638482,45.524634,,,,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
SW 41st Ave & Canby St,1.03,Gabriel Community Garden & Orchard,135,SW,0,1975,97219,4ff75389c89f8f7b9fd90100,community garden,,-122.719958,45.470359,,,,,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
