stationid_start,stationid_end,starttime,traveltime,_created_at,_updated_at
101021,101054,2015-05-01 00:28:47,214,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101021,101077,2015-05-01 00:28:47,348,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101021,101042,2015-05-01 00:28:47,144,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200005,200004,2015-05-01 00:28:52,122,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200005,200004,2015-05-01 00:28:58,142,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101042,101033,2015-05-01 00:28:58,92,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200005,200004,2015-05-01 00:29:02,95,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101033,101042,2015-05-01 00:29:11,49,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200005,200004,2015-05-01 00:29:18,126,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
104082,102082,2015-05-01 00:29:24,475,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200210,102082,2015-05-01 00:29:25,196,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200004,200005,2015-05-01 00:29:35,146,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101054,101077,2015-05-01 00:29:38,131,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101033,101042,2015-05-01 00:30:15,56,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101033,101054,2015-05-01 00:30:15,126,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101033,101077,2015-05-01 00:30:15,260,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101021,101033,2015-05-01 00:30:45,83,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200004,200003,2015-05-01 00:30:50,186,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101042,101008,2015-05-01 00:31:00,200,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200004,200005,2015-05-01 00:31:00,267,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
